experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
BewitchingKashyyyk,3,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,2,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,1,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
AstralPorg,11,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
AstralPorg,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,47.
TimelessJabba,0,h,SpectralCassian/11,11,32,nf4,256,128,6,3,Non,22.
TimelessOrson,1,h,t5,3b,,bf16,128,32,6,3,Non,Non
TimelessFelucia,0,h,ElectricManaan/1,11,,bf16,256,128,6,3,Non,32.
ThunderousNalHutta,0,h,ThunderousZolan/11,11,32,nf4,256,128,6,3,Non,20.
SupernovaBodhi,1,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,Non,Non
SpiritedRyndellia,0,h,LegendaryNaboo/6,11,32,nf4,256,128,6,3,Non,21.
SupernovaZolan,0,h,LivelyClakdorVII/11,11,32,nf4,256,128,6,3,Non,19.
SpiritedMonCala,1,h,EpicYoda/21,11,32,nf4,256,128,1,3,Non,Non
StalwartThrawn,11,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,10,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,9,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,8,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,7,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,6,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,5,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,4,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,3,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,2,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
StalwartThrawn,1,h,google/t5-v1_1-xxl,11,,bf16,128,64,1,3,78.,46.
ThunderousZolan,11,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,10,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,9,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,8,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,7,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,6,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,5,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,4,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,3,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,2,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
ThunderousZolan,1,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,53.,21.
StalwartKamino,0,h,FierceEndor/10,11,32,nf4,256,128,6,3,Non,19.
SereneWatto,0,h,UnforgettableSullust/4,11,32,nf4,256,128,6,3,Non,20.
